"Schema Version","Record Type","Paper Title","Authors","Paper URL","Associated GitHub URL","GitHub Stars","Published Date"
"1.0","RESEARCH_PAPER","Accelerating HKTex without Mesh Eigensystems: Local Unfolding and Randomized Thermal Features","Zhewen He, Junyi Hu, Yi Fang","http://arxiv.org/abs/2609.14105v1","N/A",0,"2026-09-12T19:03:52Z"
"1.0","RESEARCH_PAPER","A Voxel-Spacing-Aware Extension of PyRadiomics for Anisotropic Texture Analysis","David Corral Fontecha, Juan Miranda Bautista, Pablo Menendez Fernández-Miranda, Andrea Trapote Fernandez, Lara Lloret Iglesias, Jose A. Vega","http://arxiv.org/abs/2609.14103v1","N/A",0,"2026-09-12T18:59:08Z"
"1.0","RESEARCH_PAPER","RA-CoA: Training-free Fashion Image Captioning via Retrieval-Augmented Chain-of-Attributes","Abhirama Subramanyam Penamakuri, Shreya Shukla, Anand Mishra","http://arxiv.org/abs/2609.14100v1","N/A",0,"2026-09-12T18:51:24Z"
"1.0","RESEARCH_PAPER","Neuron Activation-based Computation of Logical Explanations for Deep Neural Networks","Tomáš Kolárik, Faezeh Labbaf, Fabrizio Leopardi, Grigory Fedyukovich, Michael Wand, Natasha Sharygina","http://arxiv.org/abs/2609.14099v1","N/A",0,"2026-09-12T18:50:37Z"
"1.0","RESEARCH_PAPER","Bridging the Synthetic-to-Real Gap for Few-Shot Cryo-ET Classification","Siddhant Bharadwaj, Ashish Vashist, Rashi Singh, Pranav Vinodh, Nishanth Artham, Runmin Jiang, Xingjian Li, Min Xu","http://arxiv.org/abs/2609.14097v1","N/A",0,"2026-09-12T18:45:22Z"
"1.0","RESEARCH_PAPER","NeuroFlex: Lossless Element-Level ANN-SNN Co-Execution for Efficient Sparse Inference","Varun Manjunath, Pranav Ramesh, Gopalakrishnan Srinivasan","http://arxiv.org/abs/2609.14092v1","N/A",0,"2026-09-12T18:27:35Z"
"1.0","RESEARCH_PAPER","Just add noise: Debiasing tree-based variable importance in mixed data","Jiahe Li, Omar Melikechi","http://arxiv.org/abs/2609.14083v1","https://github.com/melikechi-lab/just-add-noise",0,"2026-09-12T17:53:28Z"
"1.0","RESEARCH_PAPER","Adapting Open-Weight MLLMs to Generate Point Prompts for Electron Microscopy Segmentation","Samia Mohinta, Albert Cardona","http://arxiv.org/abs/2609.14080v1","N/A",0,"2026-09-12T17:52:34Z"
"1.0","RESEARCH_PAPER","LPA-CWM: A Learned Physical Adjudicator for Motion Reasoning with Counterfactual World Models","Kunwei Wu, Xiang Liu, Guocai Yao, Junming Chen, Zhikang Chen, Min Zhang, Pengwei Wang, Sen Cui","http://arxiv.org/abs/2609.14073v1","https://github.com/Ed1sonChen/DailyArxiv",85,"2026-09-12T17:46:32Z"
"1.0","RESEARCH_PAPER","Multi-Modal Tumor Survival Prediction via Graph-Guided Mixture of Experts","H Mathavan, H Liu","http://arxiv.org/abs/2609.14072v1","N/A",0,"2026-09-12T17:43:01Z"
"1.0","RESEARCH_PAPER","GraMRAG: Orchestrating Multi-Agent Multi-Step Reasoning via Graph Memory with Reinforcement Learning","Zhongyu Wang","http://arxiv.org/abs/2609.14066v1","https://github.com/IAAR-Shanghai/Awesome-AI-Memory",1218,"2026-09-12T17:28:45Z"
"1.0","RESEARCH_PAPER","Stabilizing Performative Feedback Loops with Minimal Model Deployments","Gabriele Farina, Juan Carlos Perdomo","http://arxiv.org/abs/2609.14065v1","N/A",0,"2026-09-12T17:27:42Z"
"1.0","RESEARCH_PAPER","AGENTQ: Quantization-Conditioned Backdoor Attacks on LLM Agents","Xiaoqun Liu, Qiben Yan","http://arxiv.org/abs/2609.14060v1","https://github.com/shaijing/arxiv-paper",0,"2026-09-12T17:17:59Z"
"1.0","RESEARCH_PAPER","Data-Efficient Agentic Graph Domain Adaptation via Reliability-Aware Prototype Learning","Yingxu Wang, Kunyu Zhang, Siyang Gao","http://arxiv.org/abs/2609.14045v1","N/A",0,"2026-09-12T16:54:53Z"
"1.0","RESEARCH_PAPER","Real-World Deployment and Performance Characterisation of Fog-Based Deep Learning for Cold-Chain Temperature Prediction over LoRaWAN","Jeremiah Taguta, Jean Frederic Isingizwe Nturambirwe, Clement Nthambazale Nyirenda","http://arxiv.org/abs/2609.14036v2","https://github.com/Hdksg10/DailyArxiv",0,"2026-09-12T16:43:20Z"
"1.0","RESEARCH_PAPER","Quantum-Gated LiteSSD: A Parameter-Efficient Lightweight Hybrid Quantum-Classical Framework for Forward-Looking Sonar Object Detection","Niloy Kumar Mondal, Poulomi Sarker Puja","http://arxiv.org/abs/2609.14025v1","N/A",0,"2026-09-12T16:20:40Z"
"1.0","RESEARCH_PAPER","Conditional Quantum Flow Matching for Data-Scarce Physiological Signal Augmentation","Chi-Sheng Chen, Samuel Yen-Chi Chen","http://arxiv.org/abs/2609.14019v1","N/A",0,"2026-09-12T16:06:56Z"
"1.0","RESEARCH_PAPER","VeriDx: Earning the Right to Diagnose with Disease-Centric Verification","Zhong Cao, Shuying Chen","http://arxiv.org/abs/2609.14018v1","N/A",0,"2026-09-12T16:05:07Z"
"1.0","RESEARCH_PAPER","Schizophrenia Detection from EEG Signals: A Transformer Framework with Spectrogram Representation","Abtin Shafiei, Mohsen Hooshmand, Majid Ramezani","http://arxiv.org/abs/2609.14015v1","N/A",0,"2026-09-12T15:58:55Z"
"1.0","RESEARCH_PAPER","Convergent Emergence of In-Context Learning Across Modalities","Nathan Breslow, Seungwook Han, Daniel Hyunsoo Lee, Aayush Mishra, Anqi Liu, Daniel Khashabi","http://arxiv.org/abs/2609.14011v1","N/A",0,"2026-09-12T15:55:30Z"
"1.0","RESEARCH_PAPER","CirrGuide: A Deep Cascaded Framework for Liver Cirrhosis Segmentation and Severity Classification from T2-Weighted MRI","Muntaqim Ahmed Raju, Ruizhe Ma","http://arxiv.org/abs/2609.14010v1","N/A",0,"2026-09-12T15:53:28Z"
"1.0","RESEARCH_PAPER","Confuse the Model, Control the Flow: Understanding and Mitigating Privacy Leakage from LLM Agents with Information Flow Control","Minsun Shim, Ramisha Raida Karim, Ruthwik Jakkula, Kaiwen Zhou, Xin Liu, Xin Eric Wang, Zhou Li","http://arxiv.org/abs/2609.14003v1","N/A",0,"2026-09-12T15:31:37Z"
"1.0","RESEARCH_PAPER","Synthetic Data in Marketing Research: How to Evaluate and When to Trust","Oded Netzer, Rajan Sambandam","http://arxiv.org/abs/2609.13995v1","N/A",0,"2026-09-12T15:13:10Z"
"1.0","RESEARCH_PAPER","Mind2Cloud: EEG-to-Point Cloud Generation with Two-Granularity Diffusion Decoding","Yongyi Lu, Xiongfeng Huang, Zhijing Yang","http://arxiv.org/abs/2609.13991v1","N/A",0,"2026-09-12T15:08:27Z"
"1.0","RESEARCH_PAPER","Diffusion-Based Multiple-Shooting Indirect Optimal Control for Fuel-Optimal Spacecraft Trajectory Generation","Saeid Tafazzol, Ehsan Taheri, Ryne Beeson","http://arxiv.org/abs/2609.13990v1","N/A",0,"2026-09-12T15:06:34Z"
"1.0","RESEARCH_PAPER","What Makes an Efficient VLA? Navigating Action-Head Design, Scaling, and Latency","Luoyang Sun, Guoyang Xia, Fengfa Li, Lei Ren, Xinyu Cui, Haifeng Zhang, Fangxiang Feng, Kaike Zhang, Kun Zhan, Yan Xie, Jun Wang, Cheng Deng","http://arxiv.org/abs/2609.13984v1","N/A",0,"2026-09-12T14:55:15Z"
"1.0","RESEARCH_PAPER","Rethinking the Implications of Human Feedback for Preference Learning in Human-Robot Collaboration","Qiping Zhang, Kate Candon, Debasmita Ghose, Marynel Vázquez","http://arxiv.org/abs/2609.13982v1","N/A",0,"2026-09-12T14:54:54Z"
"1.0","RESEARCH_PAPER","Mizan: A National Benchmark for Evaluating Large Language Models on Iraqi Arabic and the Iraqi Civic Context","Nawar S. Alseelawi, Mustafa S. Aljumaily","http://arxiv.org/abs/2609.13980v1","N/A",0,"2026-09-12T14:52:16Z"
"1.0","RESEARCH_PAPER","Introspective Uncertainty Estimation for LLM-Based Code Generation","Thomas Klassert","http://arxiv.org/abs/2609.13975v1","N/A",0,"2026-09-12T14:43:07Z"
"1.0","RESEARCH_PAPER","Zero-Shot Cross-Material Ptychographic Phase Reconstruction Using Deep Learning","Wen-Chun Lin, Yu-Chee Tseng, Jen-Jee Chen, Nan-You Chen","http://arxiv.org/abs/2609.13969v1","N/A",0,"2026-09-12T14:36:06Z"
"1.0","RESEARCH_PAPER","SGWIB:Sliced Gromov-Wasserstein Information Bottleneck for Video Highlight Detection","Hanjuan Huang, Yung-Chieh Yeh, Hsing-Kuo Pao","http://arxiv.org/abs/2609.13966v1","N/A",0,"2026-09-12T14:30:58Z"
"1.0","RESEARCH_PAPER","Tabby: An Open Pretraining Recipe for Time Series Foundation Models","Shifeng Xie, Bahaeddine Abdessalem, Zehao Xiao, Youssef Attia El Hili, Ambroise Odonnat, Zhiwei Dong, Lei Zan, Themis Palpanas, Jianfeng Zhang, Lujia Pan, Keli Zhang, Malik Tiomoko","http://arxiv.org/abs/2609.13956v1","https://github.com/zezhishao/DailyArXiv",451,"2026-09-12T13:58:39Z"
"1.0","RESEARCH_PAPER","Linear Ensemble Sampling with Smaller Ensembles","Taehyun Hwang, Min-hwan Oh","http://arxiv.org/abs/2609.13954v1","N/A",0,"2026-09-12T13:54:32Z"
"1.0","RESEARCH_PAPER","Thought without systematicity? Evaluating reasoning models on rule induction tasks","Simon Schug, Brenden M. Lake","http://arxiv.org/abs/2609.13948v1","https://github.com/cold-young/robotics_paper_daily",7,"2026-09-12T13:45:11Z"
"1.0","RESEARCH_PAPER","Hardware-Aware Learned Representation Compression for Distributed In-Sensor Vision","Chengwei Zhou, Abu Masum, Xuming Chen, Mehran Moghadam, Sreetama Sarkar, Arnab Sanyal, Md Abdullah-Al Kaiser, M. Hassan Najafi, Sercan Aygun, Gourav Datta","http://arxiv.org/abs/2609.13947v1","N/A",0,"2026-09-12T13:45:08Z"
"1.0","RESEARCH_PAPER","SAILOR: Solver-Assisted Interactive LLM-based Optimization Recovery","Shaghayegh Sadeghi, Stephen L. Smith, David C. Del Rey Fern'andez","http://arxiv.org/abs/2609.13945v1","https://github.com/sshaghayeghs/SAILOR",0,"2026-09-12T13:40:52Z"
"1.0","RESEARCH_PAPER","CRITICS - Critical Science Without Borders: Language Models to Promote Critical Thinking in Science Education","Rodrigo Agerri, Itziar Aldabe, Elena Cabrio, Mark Cieliebak, Jan Deriu, Mariana Flores, Jurgita Kapociute-Dzikiene, Dovile Kuiziniene, Arantza Rico, Aritz Ruiz-Gonzalez, Aitor Soroa, Mantas Vaskevicius, Serena Villata","http://arxiv.org/abs/2609.13942v1","N/A",0,"2026-09-12T13:37:10Z"
"1.0","RESEARCH_PAPER","BLInD: Learning Driver Intent as a Distribution over Future Ego Trajectories","Flavian Pegado, Ronit Hire, Shreyas Rajesh, Soham Phade","http://arxiv.org/abs/2609.13941v1","https://github.com/zezhishao/DailyArXiv",451,"2026-09-12T13:35:28Z"
"1.0","RESEARCH_PAPER","Optimal Transport for Efficient, Unsupervised Anomaly Detection on Industrial Data","Abigail Langbridge, Fearghal O'Donncha, James T Rayfield, Bradley Eck","http://arxiv.org/abs/2609.13940v1","https://github.com/zezhishao/DailyArXiv",451,"2026-09-12T13:34:49Z"
"1.0","RESEARCH_PAPER","Exploring napping paradigm for Recurrent Spiking Neural Networks","Andreas Massey, Stefano Nichele, Aliaksandr Hubin","http://arxiv.org/abs/2609.13927v1","https://github.com/Ed1sonChen/DailyArxiv",85,"2026-09-12T13:18:57Z"
"1.0","RESEARCH_PAPER","Equilibrium bias and convergence in augmented primal--dual dynamics with sampled constraints","Kang Liu, Mengxiao Chen, Siqi Xiong, Yi Xia","http://arxiv.org/abs/2609.13925v1","N/A",0,"2026-09-12T13:14:10Z"
"1.0","RESEARCH_PAPER","Minibatch persistency, eight years later: what batch reuse costs in steps and joules, and what it saves in data","Matteo Fischetti","http://arxiv.org/abs/2609.13922v1","N/A",0,"2026-09-12T13:08:52Z"
"1.0","RESEARCH_PAPER","Finite-Time Node Separation in Recurrent Graph Neural Networks with Persistent Gaussian Perturbations","Mostafa Haghir Chehreghani","http://arxiv.org/abs/2609.13920v1","N/A",0,"2026-09-12T13:06:41Z"
"1.0","RESEARCH_PAPER","Machine Learning in Fish Farming","Fearghal O'Donncha, Nikos Papandroulakis, Jennie Korus, Abigail Langbridge, Alexander Timms, Konstantinos Topouzelis, Abdul Baseer Khan, Shree Rama Kamal Kumar Vegu, Mahtab Sarvmaili, Ryan Mowat, Rhanna Turberville, Tyler Sclodnick, Christopher Whidden","http://arxiv.org/abs/2609.13919v1","N/A",0,"2026-09-12T13:05:16Z"
"1.0","RESEARCH_PAPER","LoRA Fine-Tuned Models for Control Systems Course Q\&A: A Multidimensional Evaluation of Model Scale and Rank Effects","Shaowen Lu, Chengxu Liu, Ping Zhou, Tao Yang","http://arxiv.org/abs/2609.13918v1","N/A",0,"2026-09-12T13:04:04Z"
"1.0","RESEARCH_PAPER","Learning Through Energy Refinement and Manifold Projection: A Cooperative EBM-AE Framework","Ryad Zemouri","http://arxiv.org/abs/2609.13917v1","N/A",0,"2026-09-12T13:03:06Z"
"1.0","RESEARCH_PAPER","Machine Learning under Imperfect Data: Challenges and Methods","Masoumeh Zareapoor","http://arxiv.org/abs/2609.13914v1","N/A",0,"2026-09-12T12:59:23Z"
"1.0","RESEARCH_PAPER","DiTAR+: Dual Optimization for Robust Autoregressive Diffusion Speech Synthesis","Ziyu Zhang, Tianlun Zuo, Hanzhao Li, Haoyu Zhang, Lei Xie","http://arxiv.org/abs/2609.13909v1","N/A",0,"2026-09-12T12:32:02Z"
